from,to,type,price,Pickup-time,Drop-off-time
Kempegowda International Airport Bengaluru,Electronic City,PremierPerson4,"₹1,682.92",2023-10-22 23:00:47.289429,0:18
Kempegowda International Airport Bengaluru,Electronic City,UberXLPerson6,"₹2,441.26",2023-10-22 23:00:47.289429,0:21
Kempegowda International Airport Bengaluru,Electronic City,Go SedanPerson4,"₹1,588.10",2023-10-22 23:00:47.290428,0:17
Kempegowda International Airport Bengaluru,Nagarabhavi,UberGoPerson4,"₹1,095.29",2023-10-22 23:01:05.978352,0:00
Kempegowda International Airport Bengaluru,Nagarabhavi,PremierPerson4,"₹1,315.28",2023-10-22 23:01:05.978352,0:00
Kempegowda International Airport Bengaluru,Nagarabhavi,UberXLPerson6,"₹1,887.51",2023-10-22 23:01:05.978352,0:03
Kempegowda International Airport Bengaluru,Nagarabhavi,Go SedanPerson4,"₹1,237.58",2023-10-22 23:01:05.979353,0:00
Kempegowda International Airport Bengaluru,Kalyan Nagar,UberGoPerson4,₹941.60,2023-10-22 23:01:24.228982,23:48
Kempegowda International Airport Bengaluru,Kalyan Nagar,PremierPerson4,"₹1,122.64",2023-10-22 23:01:24.228982,23:48
Kempegowda International Airport Bengaluru,Kalyan Nagar,UberXLPerson6,"₹1,577.16",2023-10-22 23:01:24.228982,23:50
Kempegowda International Airport Bengaluru,Kalyan Nagar,Go SedanPerson4,"₹1,055.76",2023-10-22 23:01:24.229981,23:48
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,Uber GoPerson4,"₹1,090.37",2023-10-22 23:01:48.122065,23:58
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,169.06",2023-10-22 23:01:48.123065,23:58
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,326.41",2023-10-22 23:01:48.123065,23:59
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,UberXLPerson6,"₹2,238.32",2023-10-22 23:01:48.123065,23:59
Koramangala,Kempegowda International Airport Bengaluru,Uber GoPerson4,"₹1,198.54",2023-10-22 23:02:09.786922,0:02
Koramangala,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,286.07",2023-10-22 23:02:09.786922,0:02
Koramangala,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,461.17",2023-10-22 23:02:09.787922,0:02
Koramangala,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹2,106.30",2023-10-22 23:02:09.787922,0:01
Indiranagar,Kempegowda International Airport Bengaluru,Uber GoPerson4,"₹1,000.29",2023-10-22 23:02:31.385077,23:55
Indiranagar,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,071.60",2023-10-22 23:02:31.385077,23:54
Indiranagar,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,214.18",2023-10-22 23:02:31.385077,23:55
Indiranagar,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹2,039.91",2023-10-22 23:02:31.386045,23:56
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹767.81,2023-10-22 23:02:54.134371,23:41
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,PremierPerson4,₹924.54,2023-10-22 23:02:54.134371,23:41
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,529.48",2023-10-22 23:02:54.134371,23:42
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹820.06,2023-10-22 23:02:54.135377,23:41
Yelahanka,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹448.12,2023-10-22 23:03:16.147959,23:23
Yelahanka,Kempegowda International Airport Bengaluru,PremierPerson4,₹526.22,2023-10-22 23:03:16.147959,23:23
Yelahanka,Kempegowda International Airport Bengaluru,UberXLPerson6,₹827.46,2023-10-22 23:03:16.148959,23:28
Yelahanka,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹474.14,2023-10-22 23:03:16.148959,23:23
Whitefield,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹778.89,2023-10-22 23:03:40.241649,0:10
Whitefield,Kempegowda International Airport Bengaluru,PremierPerson4,₹966.73,2023-10-22 23:03:40.241649,0:14
Whitefield,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,692.00",2023-10-22 23:03:40.241649,0:18
Whitefield,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹841.50,2023-10-22 23:03:40.242660,0:11
Vajarahalli,Kempegowda International Airport Bengaluru,Uber GoPerson4,"₹1,444.66",2023-10-22 23:04:01.768587,0:28
