from,to,type,price,Pickup-time,Drop-off-time
Vajarahalli,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹3,229.77",2023-10-22 12:15:21.617689,13:50
Vajarahalli,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,756.15",2023-10-22 12:15:21.617689,13:48
Electronic City,Kempegowda International Airport Bengaluru,Uber GoPerson4,"₹1,522.37",2023-10-22 12:15:42.751267,13:46
Electronic City,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,849.15",2023-10-22 12:15:42.752272,13:48
Electronic City,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹3,112.62",2023-10-22 12:15:42.752272,13:47
Electronic City,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,"₹1,631.29",2023-10-22 12:15:42.752272,13:46
Nagarabhavi,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹757.37,2023-10-22 12:16:03.732207,13:18
Nagarabhavi,Kempegowda International Airport Bengaluru,PremierPerson4,₹911.51,2023-10-22 12:16:03.732207,13:19
Nagarabhavi,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,507.46",2023-10-22 12:16:03.733208,13:25
Nagarabhavi,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹808.76,2023-10-22 12:16:03.733208,13:18
Kalyan Nagar,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹704.22,2023-10-22 12:16:24.783939,12:56
Kalyan Nagar,Kempegowda International Airport Bengaluru,PremierPerson4,₹845.31,2023-10-22 12:16:24.783939,12:57
Kalyan Nagar,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,390.59",2023-10-22 12:16:24.784977,12:59
Kalyan Nagar,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹751.24,2023-10-22 12:16:24.784977,12:56
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",UberGoPerson4,₹881.76,2023-10-22 12:31:44.620019,13:43
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",PremierPerson4,₹976.92,2023-10-22 12:31:44.621015,13:40
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",UberXLPerson6,"₹1,979.82",2023-10-22 12:31:44.621015,13:45
Kempegowda International Airport Bengaluru,"Marathahalli, Bengaluru, Karnataka",Go SedanPerson4,₹930.55,2023-10-22 12:31:44.622024,13:40
Kempegowda International Airport Bengaluru,Koramangala,UberGoPerson4,₹835.01,2023-10-22 12:32:01.987330,13:55
Kempegowda International Airport Bengaluru,Koramangala,PremierPerson4,₹922.28,2023-10-22 12:32:01.988330,13:53
Kempegowda International Airport Bengaluru,Koramangala,UberXLPerson6,"₹1,841.99",2023-10-22 12:32:01.988330,13:57
Kempegowda International Airport Bengaluru,Koramangala,Go SedanPerson4,₹879.77,2023-10-22 12:32:01.988330,13:53
Kempegowda International Airport Bengaluru,Indiranagar,UberGoPerson4,₹790.90,2023-10-22 12:32:19.235122,13:42
Kempegowda International Airport Bengaluru,Indiranagar,PremierPerson4,₹870.71,2023-10-22 12:32:19.235122,13:41
Kempegowda International Airport Bengaluru,Indiranagar,UberXLPerson6,"₹1,711.97",2023-10-22 12:32:19.236122,13:43
Kempegowda International Airport Bengaluru,Indiranagar,Go SedanPerson4,₹831.83,2023-10-22 12:32:19.236122,13:40
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,UberGoPerson4,₹745.17,2023-10-22 12:32:36.479658,13:31
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,PremierPerson4,₹817.27,2023-10-22 12:32:36.479658,13:30
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,UberXLPerson6,"₹1,577.13",2023-10-22 12:32:36.480664,13:33
Kempegowda International Airport Bengaluru,Yeshwantpur Bus Stand,Go SedanPerson4,₹782.14,2023-10-22 12:32:36.480664,13:30
Kempegowda International Airport Bengaluru,Yelahanka,UberGoPerson4,₹548.41,2023-10-22 12:32:53.899122,13:01
Kempegowda International Airport Bengaluru,Yelahanka,PremierPerson4,₹587.29,2023-10-22 12:32:53.899122,13:00
Kempegowda International Airport Bengaluru,Yelahanka,UberXLPerson6,₹997.06,2023-10-22 12:32:53.899122,13:01
Kempegowda International Airport Bengaluru,Yelahanka,Go SedanPerson4,₹568.36,2023-10-22 12:32:53.900122,13:00
Kempegowda International Airport Bengaluru,Whitefield,UberGoPerson4,₹678.66,2023-10-22 12:33:10.602620,13:49
Kempegowda International Airport Bengaluru,Whitefield,PremierPerson4,₹759.03,2023-10-22 12:33:10.602620,13:48
Kempegowda International Airport Bengaluru,Whitefield,UberXLPerson6,"₹1,606.05",2023-10-22 12:33:10.602620,13:52
Kempegowda International Airport Bengaluru,Whitefield,Go SedanPerson4,₹719.87,2023-10-22 12:33:10.603616,13:48
Kempegowda International Airport Bengaluru,Vajarahalli,UberGoPerson4,"₹1,114.28",2023-10-22 12:33:27.364955,14:23
Kempegowda International Airport Bengaluru,Vajarahalli,PremierPerson4,"₹1,238.05",2023-10-22 12:33:27.365956,14:22
Kempegowda International Airport Bengaluru,Vajarahalli,UberXLPerson6,"₹2,542.59",2023-10-22 12:33:27.365956,14:24
Kempegowda International Airport Bengaluru,Vajarahalli,Go SedanPerson4,"₹1,177.76",2023-10-22 12:33:27.366955,14:22
Kempegowda International Airport Bengaluru,Electronic City,UberGoPerson4,"₹1,044.96",2023-10-22 12:33:44.815927,14:17
Kempegowda International Airport Bengaluru,Electronic City,PremierPerson4,"₹1,157.04",2023-10-22 12:33:44.815927,14:16
Kempegowda International Airport Bengaluru,Electronic City,UberXLPerson6,"₹2,338.24",2023-10-22 12:33:44.815927,14:17
Kempegowda International Airport Bengaluru,Electronic City,Go SedanPerson4,"₹1,102.44",2023-10-22 12:33:44.816927,14:16
Kempegowda International Airport Bengaluru,Nagarabhavi,UberGoPerson4,₹823.83,2023-10-22 12:34:02.015541,13:50
Kempegowda International Airport Bengaluru,Nagarabhavi,PremierPerson4,₹909.21,2023-10-22 12:34:02.016542,13:49
Kempegowda International Airport Bengaluru,Nagarabhavi,UberXLPerson6,"₹1,809.04",2023-10-22 12:34:02.016542,13:52
Kempegowda International Airport Bengaluru,Nagarabhavi,Go SedanPerson4,₹867.62,2023-10-22 12:34:02.017511,13:49
Kempegowda International Airport Bengaluru,Kalyan Nagar,UberGoPerson4,₹723.82,2023-10-22 12:34:18.502441,13:24
Kempegowda International Airport Bengaluru,Kalyan Nagar,PremierPerson4,₹792.31,2023-10-22 12:34:18.502441,13:23
Kempegowda International Airport Bengaluru,Kalyan Nagar,UberXLPerson6,"₹1,514.21",2023-10-22 12:34:18.502441,13:26
Kempegowda International Airport Bengaluru,Kalyan Nagar,Go SedanPerson4,₹758.96,2023-10-22 12:34:18.503440,13:22
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,Uber GoPerson4,₹915.56,2023-10-22 12:34:42.638928,13:41
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹979.91,2023-10-22 12:34:42.639927,13:42
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,108.61",2023-10-22 12:34:42.639927,13:44
"Marathahalli, Bengaluru, Karnataka",Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,853.91",2023-10-22 12:34:42.639927,13:46
Koramangala,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹858.71,2023-10-22 12:35:04.652009,13:47
Koramangala,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,037.77",2023-10-22 12:35:04.652522,13:47
Koramangala,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,729.89",2023-10-22 12:35:04.653531,13:49
Koramangala,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹918.39,2023-10-22 12:35:04.654568,13:47
Indiranagar,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹848.93,2023-10-22 12:35:25.311565,13:35
Indiranagar,Kempegowda International Airport Bengaluru,PremierPerson4,"₹1,025.60",2023-10-22 12:35:25.312617,13:35
Indiranagar,Kempegowda International Airport Bengaluru,UberXLPerson6,"₹1,707.66",2023-10-22 12:35:25.313602,13:37
Indiranagar,Kempegowda International Airport Bengaluru,Go Sedan 2Person4,₹907.84,2023-10-22 12:35:25.314562,13:35
Yeshwantpur Bus Stand,Kempegowda International Airport Bengaluru,Uber GoPerson4,₹701.34,2023-10-22 12:35:46.224976,13:16
